#  symbol of convergence
#   conv0 = seems to be converged well
#   conv1 = seems to be okay but slightly rising 
#   conv2 = seems to be okay but slightly falling 
#   conv3 = seems to be converged but with large error( there was a jump )
#   conv4 = seems to be converged but with staggering/oscillation  
#  
#   div1 = seems to be not converged still rising  
#   div2 = seems to be converging but error is too large 
#  
#(L=9) Ltouter=5 ntot=10000 MR=200 
#66 9   100 	 0.2013E+03 0.1384E+00 	 0.1880E+03 0.2271E+00 3480 3000  # out_L9Lt100
#66 9   200 	 0.1956E+03 0.1580E+00 	 0.1815E+03 0.2659E+00 2420 3000  # out_L9Lt200
#66 9   300 	 0.1872E+03 0.2767E+00 	 0.1720E+03 0.4266E+00 1390 3000  # out_L9Lt300
#66 9   400 	 0.1785E+03 0.2761E+00 	 0.1624E+03 0.4556E+00 1520 3000  # out_L9Lt400
#66 9   500 	 0.1735E+03 0.3564E+00 	 0.1553E+03 0.5630E+00 1290 3000  # out_L9Lt500
#66 9   600 	 0.1693E+03 0.7486E+00 	 0.1497E+03 0.1132E+01 1110 3000  # out_L9Lt600 #need more run 
#(L=9) Ltouter=5 ntot=10000 MR=800
#66 9   450 	 0.1751E+03 0.2545E+00 	 0.1574E+03 0.2967E+00 2300 3200  # out_1L9Lt450Lto5
#66 9   550 	 0.1714E+03 0.5819E+00 	 0.1527E+03 0.5833E+00 2190 2700  # out_1L9Lt550Lto5 # may not converged 
#66 9   600 	 0.1704E+03 0.4105E+00 	 0.1514E+03 0.4525E+00 2010 3000  # out_1L9Lt600Lto5
#66 9   650 	 0.1711E+03 0.4383E+00 	 0.1523E+03 0.4985E+00 1460 2100  # out_1L9Lt650Lto5
#66 9   700 	 0.1708E+03 0.4783E+00 	 0.1516E+03 0.5502E+00 1380 2100  # out_1L9Lt700Lto5
#66 9   750 	 0.1693E+03 0.4591E+00 	 0.1504E+03 0.5275E+00 1300 2100  # out_1L9Lt750Lto5
#66 9   800 	 0.1702E+03 0.6952E+00 	 0.1505E+03 0.7951E+00 1200 1200  # out_1L9Lt800Lto5
#66 9   800       0.1696E+03 0.6571E+00   0.1497E+03 0.7674E+00 910 3600  # out_1L9Lt800Lto5ifread0
#66 9   900 	 0.1692E+03 0.8252E+00 	 0.1489E+03 0.1128E+01 1090 1200  # out_1L9Lt900Lto5 # need more run 
#(L=9) Ltouter=5 re-calculation
#Nf L Ltinner    EH0                     EM0                   ntot nthr
#66 9   100       0.2013E+03 0.1261E+00   0.1883E+03 0.1461E+00 2650 4000  # out_L9Lt100Lto5ifread0
#66 9   100       0.2013E+03 0.8934E-01   0.1883E+03 0.1030E+00 5130 4000  # out_L9Lt100Lto5ifread1
#66 9   100       0.2013E+03 0.7502E-01   0.1883E+03 0.8742E-01 7660 4000  # out_L9Lt100Lto5ifread2  #conv4
#66 9   200       0.1956E+03 0.1552E+00   0.1818E+03 0.1820E+00 1990 4000  # out_L9Lt200Lto5ifread0
#66 9   200       0.1957E+03 0.1066E+00   0.1818E+03 0.1252E+00 3900 4000  # out_L9Lt200Lto5ifread1
#66 9   200       0.1956E+03 0.8695E-01   0.1818E+03 0.1020E+00 5810 4000  # out_L9Lt200Lto5ifread2 #conv4
#66 9   300       0.1880E+03 0.1912E+00   0.1728E+03 0.2279E+00 1620 4000  # out_L9Lt300Lto5ifread0
#66 9   300       0.1879E+03 0.1317E+00   0.1728E+03 0.1568E+00 3170 4000  # out_L9Lt300Lto5ifread1
#66 9   300       0.1878E+03 0.1091E+00   0.1726E+03 0.1298E+00 4720 4000  # out_L9Lt300Lto5ifread2
#66 9   300       0.1877E+03 0.1010E+00   0.1725E+03 0.1164E+00 6280 4000  # out_L9Lt300Lto5ifread3 #conv2
#66 9   400       0.1784E+03 0.2952E+00   0.1616E+03 0.3321E+00 1350 4000  # out_L9Lt400Lto5ifread0
#66 9   400       0.1779E+03 0.3945E+00   0.1611E+03 0.4261E+00 2640 4000  # out_L9Lt400Lto5ifread1
#66 9   400       0.1780E+03 0.2731E+00   0.1612E+03 0.2982E+00 3910 4000  # out_L9Lt400Lto5ifread2
#66 9   400       0.1780E+03 0.2118E+00   0.1612E+03 0.2327E+00 5200 4000  # out_L9Lt400Lto5ifread3 #conv4
#66 9   500       0.1722E+03 0.8860E+00   0.1542E+03 0.6288E+00 1180 3600  # out_L9Lt500Lto5ifread0
#66 9   500       0.1727E+03 0.4388E+00   0.1545E+03 0.3657E+00 2310 3600  # out_L9Lt500Lto5ifread1
#66 9   500       0.1728E+03 0.3069E+00   0.1548E+03 0.2720E+00 3440 3600  # out_L9Lt500Lto5ifread2
#66 9   500       0.1728E+03 0.2118E+00   0.1547E+03 0.2080E+00 5700 3600  # out_L9Lt500Lto5ifread3 #conv4
#66 9   600       0.1701E+03 0.7262E+00   0.1512E+03 0.7069E+00 1040 3150  # out_L9Lt600Lto5ifread0
#66 9   600       0.1704E+03 0.3827E+00   0.1516E+03 0.3942E+00 2030 3150  # out_L9Lt600Lto5ifread1
#66 9   600       0.1707E+03 0.2720E+00   0.1518E+03 0.2897E+00 3020 3150  # out_L9Lt600Lto5ifread2
#66 9   600       0.1707E+03 0.2218E+00   0.1519E+03 0.2399E+00 4010 3150  # out_L9Lt600Lto5ifread3 #conv4
#66 9   700       0.1709E+03 0.4680E+00   0.1516E+03 0.5446E+00 1020 3300  # out_L9Lt700Lto5ifread0
#66 9   700       0.1704E+03 0.3168E+00   0.1514E+03 0.3571E+00 1990 3300  # out_L9Lt700Lto5ifread1
#66 9   700       0.1704E+03 0.2450E+00   0.1512E+03 0.2763E+00 2960 3300  # out_L9Lt700Lto5ifread2
#66 9   700       0.1704E+03 0.2102E+00   0.1512E+03 0.2359E+00 3920 3300  # out_L9Lt700Lto5ifread3 #conv0
#66 9   800       0.1696E+03 0.6571E+00   0.1497E+03 0.7674E+00 910 3600  # out_L9Lt800Lto5ifread0
#66 9   800       0.1700E+03 0.3607E+00   0.1505E+03 0.4124E+00 1790 3600  # out_L9Lt800Lto5ifread1
#66 9   800       0.1700E+03 0.3006E+00   0.1507E+03 0.3261E+00 2660 3600  # out_L9Lt800Lto5ifread2
#66 9   800       0.1700E+03 0.2453E+00   0.1508E+03 0.2672E+00 3520 3600  # out_L9Lt800Lto5ifread3
#66 9   800       0.1702E+03 0.2120E+00   0.1509E+03 0.2336E+00 4390 3600  # out_L9Lt800Lto5ifread4 #conv1
#66 9   850       0.1698E+03 0.5952E+00   0.1502E+03 0.7218E+00 830 4000  # out_L9Lt850Lto5ifread0 #too small config
#66 9   850       0.1704E+03 0.3332E+00   0.1509E+03 0.3962E+00 1620 4000  # out_L9Lt850Lto5ifread1
#66 9   900       0.1693E+03 0.5943E+00   0.1497E+03 0.6973E+00 800 4000  # out_L9Lt900Lto5ifread0 #too small config
#66 9   900       0.1676E+03 0.2452E+01   0.1476E+03 0.2782E+01 1560 4000  # out_L9Lt900Lto5ifread1 #div2
#66 9   900       0.1685E+03 0.1532E+01   0.1487E+03 0.1740E+01 2320 4000  # out_L9Lt900Lto5ifread2 #div2
#66 9   900       0.1687E+03 0.1120E+01   0.1491E+03 0.1271E+01 3080 4000  # out_L9Lt900Lto5ifread3 #div2
#66 9   900       0.1692E+03 0.8857E+00   0.1495E+03 0.1006E+01 3840 4000  # out_L9Lt900Lto5ifread4 #div2
# final summary/choice 
66 9   100       0.2013E+03 0.7502E-01   0.1883E+03 0.8742E-01 7660 4000  # out_L9Lt100Lto5ifread2  #conv4
66 9   200       0.1956E+03 0.8695E-01   0.1818E+03 0.1020E+00 5810 4000  # out_L9Lt200Lto5ifread2 #conv4
66 9   300       0.1877E+03 0.1010E+00   0.1725E+03 0.1164E+00 6280 4000  # out_L9Lt300Lto5ifread3 #conv2
66 9   400       0.1780E+03 0.2118E+00   0.1612E+03 0.2327E+00 5200 4000  # out_L9Lt400Lto5ifread3 #conv4
66 9   450 	 0.1751E+03 0.2545E+00 	 0.1574E+03 0.2967E+00 2300 3200  # out_1L9Lt450Lto5
66 9   500       0.1728E+03 0.2118E+00   0.1547E+03 0.2080E+00 5700 3600  # out_L9Lt500Lto5ifread3 #conv4
66 9   550 	 0.1714E+03 0.5819E+00 	 0.1527E+03 0.5833E+00 2190 2700  # out_1L9Lt550Lto5 # may not converged 
66 9   600       0.1707E+03 0.2218E+00   0.1519E+03 0.2399E+00 4010 3150  # out_L9Lt600Lto5ifread3 #conv4
66 9   650 	 0.1711E+03 0.4383E+00 	 0.1523E+03 0.4985E+00 1460 2100  # out_1L9Lt650Lto5
66 9   700       0.1704E+03 0.2102E+00   0.1512E+03 0.2359E+00 3920 3300  # out_L9Lt700Lto5ifread3 #conv0
66 9   750 	 0.1693E+03 0.4591E+00 	 0.1504E+03 0.5275E+00 1300 2100  # out_1L9Lt750Lto5
66 9   800       0.1702E+03 0.2120E+00   0.1509E+03 0.2336E+00 4390 3600  # out_L9Lt800Lto5ifread4 #conv1
66 9   850       0.1704E+03 0.3332E+00   0.1509E+03 0.3962E+00 1620 4000  # out_L9Lt850Lto5ifread1

