#  symbol of convergence
#   conv0 = seems to be converged well
#   conv1 = seems to be okay but slightly rising 
#   conv2 = seems to be okay but slightly falling 
#   conv3 = seems to be converged but with large error( there was a jump )
#   conv4 = seems to be converged but with staggering/oscillation  
#  
#   div1 = seems to be not converged still rising  
#   div2 = seems to be converging but error is too large 
#  
#
##(L=10) Ltouter=5 ntot=10000 MR=200
#66 10   100 	 0.1677E+03 0.9591E-01 	 0.1571E+03 0.1528E+00 3750 3480  # out_L10Lt100 #need more run 
#66 10   200 	 0.1636E+03 0.1194E+00 	 0.1522E+03 0.1932E+00 2640 3480  # out_L10Lt200 #need more run 
#66 10   300 	 0.1594E+03 0.1605E+00 	 0.1468E+03 0.2642E+00 2050 3000  # out_L10Lt300
#66 10   400 	 0.1537E+03 0.2248E+00 	 0.1401E+03 0.3732E+00 1890 2050  # out_L10Lt400
#66 10   500 	 0.1465E+03 0.7112E+00 	 0.1316E+03 0.6614E+00 1580 2400  # out_L10Lt500 #need more run 
#66 10   600 	 0.1432E+03 0.3678E+00 	 0.1273E+03 0.5638E+00 1380 2000  # out_L10Lt600
##(L=10) Ltouter=5 ntot=10000 MR=800
#66 10   450 	 0.1504E+03 0.2225E+00 	 0.1360E+03 0.2655E+00 1870 2700  # out_1L10Lt450Lto5
#66 10   550 	 0.1443E+03 0.4870E+00 	 0.1288E+03 0.5502E+00 1640 2500  # out_1L10Lt550Lto5 #not converged 
#66 10   650 	 0.1422E+03 0.4688E+00 	 0.1262E+03 0.5342E+00 1050 1600  # out_1L10Lt650Lto5
#66 10   700 	 0.1405E+03 0.5132E+00 	 0.1243E+03 0.5854E+00 990 1800  # out_1L10Lt700Lto5
#66 10   750 	 0.1398E+03 0.5207E+00 	 0.1232E+03 0.5997E+00 940 1800  # out_1L10Lt750Lto5
#66 10   800 	 0.1401E+03 0.7083E+00 	 0.1227E+03 0.8133E+00 950 1050  # out_1L10Lt800Lto5
#66 10   900 	 0.1410E+03 0.8474E+00 	 0.1237E+03 0.9460E+00 870 900  # out_1L10Lt900Lto5
##(L=10) Ltouter=5 re-calculation
##Nf L Ltinner    EH0                     EM0                   ntot nthr
#66 10   100      0.1680E+03 0.1357E+00   0.1572E+03 0.1576E+00 1920 4000  # out_L10Lt100Lto5ifread0
#66 10   100      0.1679E+03 0.9205E-01   0.1571E+03 0.1081E+00 3750 4000  # out_L10Lt100Lto5ifread1
#66 10   100      0.1679E+03 0.7415E-01   0.1572E+03 0.8676E-01 5580 4000  # out_L10Lt100Lto5ifread2
#66 10   200      0.1636E+03 0.1582E+00   0.1520E+03 0.1846E+00 1470 4000  # out_L10Lt200Lto5ifread0
#66 10   200      0.1639E+03 0.1062E+00   0.1523E+03 0.1252E+00 2860 4000  # out_L10Lt200Lto5ifread1
#66 10   200      0.1637E+03 0.8557E-01   0.1521E+03 0.1019E+00 4250 4000  # out_L10Lt200Lto5ifread2
#66 10   300      0.1595E+03 0.1969E+00   0.1471E+03 0.2285E+00 1180 4000  # out_L10Lt300Lto5ifread0
#66 10   300      0.1595E+03 0.1311E+00   0.1471E+03 0.1531E+00 2300 4000  # out_L10Lt300Lto5ifread1
#66 10   300      0.1595E+03 0.1048E+00   0.1471E+03 0.1211E+00 3420 4000  # out_L10Lt300Lto5ifread2
#66 10   300      0.1595E+03 0.9144E-01   0.1472E+03 0.1057E+00 4540 4000  # out_L10Lt300Lto5ifread3
#66 10   400      0.1532E+03 0.2705E+00   0.1397E+03 0.3136E+00 1000 3600  # out_L10Lt400Lto5ifread0
#66 10   400      0.1534E+03 0.1854E+00   0.1397E+03 0.2097E+00 1950 3600  # out_L10Lt400Lto5ifread1
#66 10   400      0.1530E+03 0.2177E+00   0.1393E+03 0.2338E+00 2900 3600  # out_L10Lt400Lto5ifread2
#66 10   400      0.1531E+03 0.1712E+00   0.1396E+03 0.1864E+00 3850 3600  # out_L10Lt400Lto5ifread3
#66 10   500      0.1471E+03 0.3209E+00   0.1324E+03 0.3973E+00 980 3000  # out_L10Lt500Lto5ifread0
#66 10   500      0.1469E+03 0.2204E+00   0.1320E+03 0.2552E+00 1910 3000  # out_L10Lt500Lto5ifread1
#66 10   500      0.1468E+03 0.1739E+00   0.1320E+03 0.2003E+00 2830 3000  # out_L10Lt500Lto5ifread2
#66 10   500      0.1469E+03 0.1517E+00   0.1320E+03 0.1737E+00 3750 3000  # out_L10Lt500Lto5ifread3
#66 10   600      0.1434E+03 0.3727E+00   0.1275E+03 0.4373E+00 870 3000  # out_L10Lt600Lto5ifread0
#66 10   600      0.1431E+03 0.2766E+00   0.1271E+03 0.3324E+00 1690 3000  # out_L10Lt600Lto5ifread1
#66 10   600      0.1428E+03 0.2306E+00   0.1269E+03 0.2626E+00 2510 3000  # out_L10Lt600Lto5ifread2
#66 10   600      0.1427E+03 0.1970E+00   0.1268E+03 0.2225E+00 3320 3000  # out_L10Lt600Lto5ifread3
#66 10   700      0.1407E+03 0.6635E+00   0.1245E+03 0.7277E+00 770 3000  # out_L10Lt700Lto5ifread0
#66 10   700      0.1405E+03 0.3641E+00   0.1242E+03 0.4250E+00 1500 3000  # out_L10Lt700Lto5ifread1
#66 10   700      0.1409E+03 0.2649E+00   0.1245E+03 0.3071E+00 2230 3000  # out_L10Lt700Lto5ifread2
#66 10   700      0.1409E+03 0.2362E+00   0.1244E+03 0.2683E+00 2960 3000  # out_L10Lt700Lto5ifread3
#66 10   750      0.1400E+03 0.4905E+00   0.1233E+03 0.5678E+00 690 3000  # out_L10Lt750Lto5ifread0
#66 10   750      0.1401E+03 0.3435E+00   0.1235E+03 0.4055E+00 1190 3000  # out_L10Lt750Lto5ifread1
#66 10   750      0.1401E+03 0.3566E+00   0.1235E+03 0.4187E+00 1060 3000  # out_L10Lt750Lto5ifread2
#66 10   800      0.1390E+03 0.5267E+00   0.1222E+03 0.6277E+00 660 3000  # out_L10Lt800Lto5ifread0
#66 10   800      0.1384E+03 0.1812E+01   0.1215E+03 0.1890E+01 1280 3000  # out_L10Lt800Lto5ifread1
#66 10   800      0.1382E+03 0.1589E+01   0.1217E+03 0.1406E+01 1900 3000  # out_L10Lt800Lto5ifread2
#66 10   800      0.1387E+03 0.1149E+01   0.1222E+03 0.1020E+01 2520 3000  # out_L10Lt800Lto5ifread3
#66 10   800      0.1390E+03 0.9041E+00   0.1224E+03 0.8127E+00 3140 3000  # out_L10Lt800Lto5ifread4
#66 10   850      0.1398E+03 0.5896E+00   0.1234E+03 0.6929E+00 660 2400  # out_L10Lt850Lto5ifread0
#66 10   850      0.1395E+03 0.4124E+00   0.1229E+03 0.4550E+00 1290 2400  # out_L10Lt850Lto5ifread1
#66 10   850      0.1396E+03 0.3284E+00   0.1228E+03 0.3714E+00 1920 2400  # out_L10Lt850Lto5ifread2
#66 10   850      0.1398E+03 0.2812E+00   0.1229E+03 0.3154E+00 2550 2400  # out_L10Lt850Lto5ifread3
#66 10   900      0.1407E+03 0.7773E+00   0.1239E+03 0.8892E+00 600 1800  # out_L10Lt900Lto5ifread0
#66 10   900      0.1406E+03 0.5386E+00   0.1237E+03 0.5925E+00 1170 1800  # out_L10Lt900Lto5ifread1
#66 10   900      0.1403E+03 0.4477E+00   0.1232E+03 0.5187E+00 1740 1800  # out_L10Lt900Lto5ifread2
#66 10   900      0.1399E+03 0.3690E+00   0.1228E+03 0.4252E+00 2300 1800  # out_L10Lt900Lto5ifread3
#66 10   900      0.1400E+03 0.3175E+00   0.1228E+03 0.3668E+00 2860 1800  # out_L10Lt900Lto5ifread4
#66 10   950      0.1402E+03 0.7776E+00   0.1225E+03 0.9322E+00 600 2500  # out_L10Lt950Lto5ifread0
#66 10   950      0.1401E+03 0.4287E+00   0.1229E+03 0.4968E+00 1180 2500  # out_L10Lt950Lto5ifread1
#66 10   950      0.1400E+03 0.3253E+00   0.1227E+03 0.3755E+00 1750 2500  # out_L10Lt950Lto5ifread2
#66 10   950      0.1400E+03 0.2972E+00   0.1228E+03 0.3325E+00 2320 2500  # out_L10Lt950Lto5ifread3
##66 10   1050     0.1477E+03 0.6750E+00   0.1300E+03 0.7724E+00 610 2500  # out_L10Lt1050Lto5ifread0
# final summary/choice 
66 10   100      0.1679E+03 0.7415E-01   0.1572E+03 0.8676E-01 5580 4000  # out_L10Lt100Lto5ifread2
66 10   200      0.1637E+03 0.8557E-01   0.1521E+03 0.1019E+00 4250 4000  # out_L10Lt200Lto5ifread2
66 10   300      0.1595E+03 0.9144E-01   0.1472E+03 0.1057E+00 4540 4000  # out_L10Lt300Lto5ifread3
66 10   400      0.1531E+03 0.1712E+00   0.1396E+03 0.1864E+00 3850 3600  # out_L10Lt400Lto5ifread3
66 10   450 	 0.1504E+03 0.2225E+00 	 0.1360E+03 0.2655E+00 1870 2700  # out_1L10Lt450Lto5
66 10   500      0.1469E+03 0.1517E+00   0.1320E+03 0.1737E+00 3750 3000  # out_L10Lt500Lto5ifread3
66 10   550 	 0.1443E+03 0.4870E+00 	 0.1288E+03 0.5502E+00 1640 2500  # out_1L10Lt550Lto5 #not converged 
66 10   600      0.1427E+03 0.1970E+00   0.1268E+03 0.2225E+00 3320 3000  # out_L10Lt600Lto5ifread3
66 10   650 	 0.1422E+03 0.4688E+00 	 0.1262E+03 0.5342E+00 1050 1600  # out_1L10Lt650Lto5
66 10   700      0.1409E+03 0.2362E+00   0.1244E+03 0.2683E+00 2960 3000  # out_L10Lt700Lto5ifread3
66 10   750      0.1401E+03 0.3566E+00   0.1235E+03 0.4187E+00 1060 3000  # out_L10Lt750Lto5ifread2
#66 10   800 	 0.1401E+03 0.7083E+00 	 0.1227E+03 0.8133E+00 950 1050  # out_1L10Lt800Lto5
#66 10   800      0.1390E+03 0.9041E+00   0.1224E+03 0.8127E+00 3140 3000  # out_L10Lt800Lto5ifread4
66 10   850      0.1398E+03 0.2812E+00   0.1229E+03 0.3154E+00 2550 2400  # out_L10Lt850Lto5ifread3
66 10   900      0.1400E+03 0.3175E+00   0.1228E+03 0.3668E+00 2860 1800  # out_L10Lt900Lto5ifread4
66 10   950      0.1400E+03 0.2972E+00   0.1228E+03 0.3325E+00 2320 2500  # out_L10Lt950Lto5ifread3

