##(L=11) Ltouter=5 ntot=10000 MR=200
#66 11   100 	 0.1425E+03 0.1016E+00 	 0.1336E+03 0.1565E+00 2740 3480  # out_L11Lt100
#66 11   200 	 0.1385E+03 0.1279E+00 	 0.1288E+03 0.1978E+00 1950 3360  # out_L11Lt200
#66 11   300 	 0.1362E+03 0.1604E+00 	 0.1259E+03 0.2619E+00 1520 3000  # out_L11Lt300
#66 11   400 	 0.1329E+03 0.2283E+00 	 0.1216E+03 0.3652E+00 1400 2000  # out_L11Lt400
#66 11   500 	 0.1286E+03 0.3131E+00 	 0.1164E+03 0.5012E+00 1090 1800  # out_L11Lt500
#66 11   600 	 0.1233E+03 0.8947E+00 	 0.1103E+03 0.1148E+01 950 1500  # out_L11Lt600
##(L=11) Ltouter=5 ntot=10000 MR=800
#66 11   550 	 0.1260E+03 0.3159E+00 	 0.1133E+03 0.3699E+00 1150 1800  # out_L11Lt550
##66 11   600 	 0.1238E+03 0.3707E+00 	 0.1107E+03 0.5688E+00 950 1800  # out_1L11Lt600
#66 11   600 	 0.1233E+03 0.6509E+00 	 0.1102E+03 0.8299E+00 1080 1800  # out_L11Lt600
#66 11   650 	 0.1218E+03 0.4448E+00 	 0.1082E+03 0.5586E+00 1110 1800  # out_L11Lt650
#66 11   700 	 0.1206E+03 0.6994E+00 	 0.1066E+03 0.7552E+00 790 1200  # out_L11Lt700
#66 11   800 	 0.1201E+03 0.6198E+00 	 0.1060E+03 0.7470E+00 710 1200  # out_L11Lt800
#66 11   900 	 0.1173E+03 0.7992E+00 	 0.1026E+03 0.8433E+00 650 1200  # out_L11Lt900
#66 11   950 	 0.1175E+03 0.7414E+00 	 0.1016E+03 0.9219E+00 790 1200  # out_L11Lt950
##66 11   1000 	 0.1261E+03 0.8735E+00 	 0.1101E+03 0.9970E+00 620 1120  # out_1L11Lt1000
#66 11   1000 	 0.1260E+03 0.6056E+00 	 0.1099E+03 0.6868E+00 820 1400  # out_L11Lt1000
#66 11   1050 	 0.1256E+03 0.7750E+00 	 0.1096E+03 0.8859E+00 830 1400  # out_L11Lt1050
#
##(L=11) Ltouter=5 re-calculation
#Nf L Ltinner    EH0                     EM0                   ntot nthr
#66 11   1000     0.1254E+03 0.9029E+00   0.1088E+03 0.1065E+01 460 1800  # out_1L11Lt1000Lto5ifread0
#66 11   1000     0.1252E+03 0.7841E+00   0.1089E+03 0.9245E+00 460 2500  # out_L11Lt1000Lto5ifread0
#66 11   100      0.1425E+03 0.1311E+00   0.1336E+03 0.1497E+00 1460 4400  # out_L11Lt100Lto5ifread0
#66 11   100      0.1425E+03 0.8861E-01   0.1335E+03 0.1010E+00 2810 4400  # out_L11Lt100Lto5ifread1
#66 11   100      0.1425E+03 0.7251E-01   0.1335E+03 0.8317E-01 4140 4400  # out_L11Lt100Lto5ifread2
#66 11   200      0.1387E+03 0.1629E+00   0.1291E+03 0.1886E+00 1110 4000  # out_L11Lt200Lto5ifread0
#66 11   200      0.1387E+03 0.1085E+00   0.1291E+03 0.1249E+00 2120 4000  # out_L11Lt200Lto5ifread1
#66 11   200      0.1387E+03 0.8881E-01   0.1291E+03 0.1018E+00 3150 4000  # out_L11Lt200Lto5ifread2
#66 11   300      0.1363E+03 0.2180E+00   0.1258E+03 0.2524E+00 910 3600  # out_L11Lt300Lto5ifread0
#66 11   300      0.1361E+03 0.1406E+00   0.1256E+03 0.1645E+00 1750 3600  # out_L11Lt300Lto5ifread1
#66 11   300      0.1361E+03 0.1121E+00   0.1257E+03 0.1321E+00 2590 3600  # out_L11Lt300Lto5ifread2
#66 11   400      0.1332E+03 0.2700E+00   0.1218E+03 0.3095E+00 850 2700  # out_L11Lt400Lto5ifread0
#66 11   400      0.1332E+03 0.1753E+00   0.1219E+03 0.1999E+00 1640 2700  # out_L11Lt400Lto5ifread1
#66 11   400      0.1331E+03 0.1398E+00   0.1218E+03 0.1611E+00 2430 2700  # out_L11Lt400Lto5ifread2
#66 11   500      0.1284E+03 0.7424E+00   0.1164E+03 0.7302E+00 740 3000  # out_L11Lt500Lto5ifread0
#66 11   500      0.1284E+03 0.3369E+00   0.1166E+03 0.3447E+00 1420 3000  # out_L11Lt500Lto5ifread1
#66 11   500      0.1284E+03 0.2310E+00   0.1166E+03 0.2424E+00 2100 3000  # out_L11Lt500Lto5ifread2
#66 11   600      0.1221E+03 0.1238E+01   0.1086E+03 0.1591E+01 610 2400  # out_L11Lt600Lto5ifread0
#66 11   600      0.1229E+03 0.5740E+00   0.1096E+03 0.7006E+00 1170 2400  # out_L11Lt600Lto5ifread1
#66 11   600      0.1233E+03 0.3807E+00   0.1099E+03 0.4604E+00 1730 2400  # out_L11Lt600Lto5ifread2
#66 11   700      0.1200E+03 0.6688E+00   0.1061E+03 0.7246E+00 580 2250  # out_L11Lt700Lto5ifread0
#66 11   700      0.1197E+03 0.4019E+00   0.1054E+03 0.4512E+00 1120 2250  # out_L11Lt700Lto5ifread1
#66 11   700      0.1193E+03 0.3124E+00   0.1051E+03 0.3594E+00 1660 2250  # out_L11Lt700Lto5ifread2
#66 11   700      0.1197E+03 0.2541E+00   0.1054E+03 0.2898E+00 2200 2250  # out_L11Lt700Lto5ifread3
#66 11   800      0.1192E+03 0.6000E+00   0.1050E+03 0.7083E+00 530 2400  # out_L11Lt800Lto5ifread0
#66 11   800      0.1182E+03 0.9020E+00   0.1040E+03 0.1008E+01 1020 2400  # out_L11Lt800Lto5ifread1
#66 11   800      0.1184E+03 0.6583E+00   0.1039E+03 0.8754E+00 1510 2400  # out_L11Lt800Lto5ifread2
#66 11   800      0.1187E+03 0.4890E+00   0.1043E+03 0.6429E+00 2000 2400  # out_L11Lt800Lto5ifread3
#66 11   850      0.1181E+03 0.1145E+01   0.1029E+03 0.1609E+01 500 2400  # out_L11Lt850Lto5ifread0
#66 11   850      0.1173E+03 0.8300E+00   0.1027E+03 0.8283E+00 970 2400  # out_L11Lt850Lto5ifread1
#66 11   850      0.1177E+03 0.5307E+00   0.1027E+03 0.5430E+00 1440 2400  # out_L11Lt850Lto5ifread2
#66 11   900      0.1173E+03 0.8122E+00   0.1029E+03 0.9112E+00 480 2400  # out_L11Lt900Lto5ifread0
#66 11   900      0.1138E+03 0.4098E+01   0.1002E+03 0.2957E+01 930 2400  # out_L11Lt900Lto5ifread1
#66 11   900      0.1154E+03 0.2391E+01   0.1014E+03 0.1737E+01 1380 2400  # out_L11Lt900Lto5ifread2
#66 11   900      0.1161E+03 0.1705E+01   0.1018E+03 0.1247E+01 1820 2400  # out_L11Lt900Lto5ifread3
#66 11   950      0.1179E+03 0.8708E+00   0.1024E+03 0.1152E+01 460 2500  # out_L11Lt950Lto5ifread0
#66 11   950      0.1180E+03 0.4098E+00   0.1032E+03 0.4919E+00 890 2500  # out_L11Lt950Lto5ifread1
#66 11   950      0.1179E+03 0.3193E+00   0.1032E+03 0.3755E+00 1320 2500  # out_L11Lt950Lto5ifread2
# final summary/choice 
66 11   100      0.1425E+03 0.7251E-01   0.1335E+03 0.8317E-01 4140 4400  # out_L11Lt100Lto5ifread2
66 11   200      0.1387E+03 0.8881E-01   0.1291E+03 0.1018E+00 3150 4000  # out_L11Lt200Lto5ifread2
66 11   300      0.1361E+03 0.1121E+00   0.1257E+03 0.1321E+00 2590 3600  # out_L11Lt300Lto5ifread2
66 11   400      0.1331E+03 0.1398E+00   0.1218E+03 0.1611E+00 2430 2700  # out_L11Lt400Lto5ifread2
66 11   500      0.1284E+03 0.2310E+00   0.1166E+03 0.2424E+00 2100 3000  # out_L11Lt500Lto5ifread2
66 11   550 	 0.1260E+03 0.3159E+00 	 0.1133E+03 0.3699E+00 1150 1800  # out_L11Lt550
66 11   600      0.1233E+03 0.3807E+00   0.1099E+03 0.4604E+00 1730 2400  # out_L11Lt600Lto5ifread2
66 11   650 	 0.1218E+03 0.4448E+00 	 0.1082E+03 0.5586E+00 1110 1800  # out_L11Lt650
66 11   700      0.1197E+03 0.2541E+00   0.1054E+03 0.2898E+00 2200 2250  # out_L11Lt700Lto5ifread3
66 11   800      0.1187E+03 0.4890E+00   0.1043E+03 0.6429E+00 2000 2400  # out_L11Lt800Lto5ifread3
66 11   850      0.1177E+03 0.5307E+00   0.1027E+03 0.5430E+00 1440 2400  # out_L11Lt850Lto5ifread2
#66 11   900      0.1173E+03 0.8122E+00   0.1029E+03 0.9112E+00 480 2400  # out_L11Lt900Lto5ifread0
66 11   900      0.1161E+03 0.1705E+01   0.1018E+03 0.1247E+01 1820 2400  # out_L11Lt900Lto5ifread3
66 11   950      0.1179E+03 0.3193E+00   0.1032E+03 0.3755E+00 1320 2500  # out_L11Lt950Lto5ifread2


